@id,label,notation,stationReference,station,parameterName,parameter,qualifier,datumType,period,unit,unitName,valueType,latestReading,value,dateTime,date,measure
http://environment.data.gov.uk/flood-monitoring/id/measures/E21637-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,E21637-rainfall-tipping_bucket_raingauge-t-15_min-mm,E21637,http://environment.data.gov.uk/flood-monitoring/id/stations/E21637,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/E21637-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T17-45-00Z,0.000,2021-12-15T17:45:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/E21637-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/257039TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,257039TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,257039TP,http://environment.data.gov.uk/flood-monitoring/id/stations/257039TP,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/257039TP-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T17-30-00Z,0.0,2021-12-15T17:30:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/257039TP-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/055R0521E_TG_326-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,055R0521E_TG_326-rainfall-tipping_bucket_raingauge-t-15_min-mm,055R0521E_TG_326,http://environment.data.gov.uk/flood-monitoring/id/stations/055R0521E_TG_326,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/055R0521E_TG_326-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T10-45-00Z,0.0,2021-12-15T10:45:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/055R0521E_TG_326-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/E23500-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,E23500-rainfall-tipping_bucket_raingauge-t-15_min-mm,E23500,http://environment.data.gov.uk/flood-monitoring/id/stations/E23500,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/E23500-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T04-30-00Z,0.000,2021-12-15T04:30:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/E23500-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/261923TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,261923TP-rainfall-tipping_bucket_raingauge-t-15_min-mm,261923TP,http://environment.data.gov.uk/flood-monitoring/id/stations/261923TP,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/261923TP-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T17-30-00Z,0.0,2021-12-15T17:30:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/261923TP-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/555207-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,555207-rainfall-tipping_bucket_raingauge-t-15_min-mm,555207,http://environment.data.gov.uk/flood-monitoring/id/stations/555207,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/555207-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T15-00-00Z,0.0,2021-12-15T15:00:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/555207-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/3611-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,3611-rainfall-tipping_bucket_raingauge-t-15_min-mm,3611,http://environment.data.gov.uk/flood-monitoring/id/stations/3611,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/3611-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T17-45-00Z,0.0,2021-12-15T17:45:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/3611-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/3601-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,3601-rainfall-tipping_bucket_raingauge-t-15_min-mm,3601,http://environment.data.gov.uk/flood-monitoring/id/stations/3601,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/3601-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T17-45-00Z,0.0,2021-12-15T17:45:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/3601-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/E24889-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,E24889-rainfall-tipping_bucket_raingauge-t-15_min-mm,E24889,http://environment.data.gov.uk/flood-monitoring/id/stations/E24889,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/E24889-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T08-00-00Z,0.000,2021-12-15T08:00:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/E24889-rainfall-tipping_bucket_raingauge-t-15_min-mm
http://environment.data.gov.uk/flood-monitoring/id/measures/E37271-rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall-tipping_bucket_raingauge-t-15_min-mm,E37271-rainfall-tipping_bucket_raingauge-t-15_min-mm,E37271,http://environment.data.gov.uk/flood-monitoring/id/stations/E37271,Rainfall,rainfall,Tipping Bucket Raingauge,"",900,http://qudt.org/1.1/vocab/unit#Millimeter,mm,total,http://environment.data.gov.uk/flood-monitoring/data/readings/E37271-rainfall-tipping_bucket_raingauge-t-15_min-mm/2021-12-15T04-30-00Z,0.000,2021-12-15T04:30:00Z,2021-12-15,http://environment.data.gov.uk/flood-monitoring/id/measures/E37271-rainfall-tipping_bucket_raingauge-t-15_min-mm
